Star Rating,Review Title,Review Text,Review Last Update Date
2,Issues,Having login issues since the latest update. @support please fix.,2025-08-02
2,Disappointed,Statements are hard to download. Needs improvement.,2026-03-28
2,Issues,Having login issues since the latest update. @support please fix.,2026-05-14
4,Good,Good but has some minor bugs.,2025-12-22
1,Terrible,Crashes on startup. Unusable.,2025-10-27
4,Solid,Solid app for KYC but takes too long to approve.,2025-12-04
5,Great App,Works perfectly. I use it every day.,2025-06-17
4,Solid,Solid app for KYC but takes too long to approve.,2026-01-23
2,Issues,Having login issues since the latest update. @support please fix.,2026-02-23
2,Issues,Having login issues since the latest update. @support please fix.,2026-04-06
2,Issues,Having login issues since the latest update. @support please fix.,2025-12-06
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-12-01
4,Good,Good but has some minor bugs.,2026-01-16
2,Issues,Having login issues since the latest update. @support please fix.,2026-04-07
4,Solid,Solid app for KYC but takes too long to approve.,2025-10-12
1,Terrible,Crashes on startup. Unusable.,2025-07-08
4,Solid,Solid app for KYC but takes too long to approve.,2026-01-02
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-08-19
4,Good,Good but has some minor bugs.,2025-11-01
5,Great App,Works perfectly. I use it every day.,2026-01-04
1,Terrible,Crashes on startup. Unusable.,2025-10-21
4,Good,Good but has some minor bugs.,2025-09-22
2,Issues,Having login issues since the latest update. @support please fix.,2025-08-30
2,Disappointed,Statements are hard to download. Needs improvement.,2025-12-20
5,Love it,Seamless onboarding process. Very impressed.,2025-09-14
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-03-11
3,Average,Customer support is slow to respond to my queries.,2025-06-12
4,Good,Good but has some minor bugs.,2025-11-21
5,Love it,Seamless onboarding process. Very impressed.,2025-06-11
3,Average,Customer support is slow to respond to my queries.,2025-08-06
5,Awesome,The new UI is fantastic and payments are quick.,2026-01-07
1,Terrible,Crashes on startup. Unusable.,2025-08-21
2,Disappointed,Statements are hard to download. Needs improvement.,2026-05-17
4,Good,Good but has some minor bugs.,2026-02-15
5,Great App,Works perfectly. I use it every day.,2026-04-01
4,Solid,Solid app for KYC but takes too long to approve.,2025-07-23
4,Solid,Solid app for KYC but takes too long to approve.,2026-03-07
5,Great App,Works perfectly. I use it every day.,2025-08-25
4,Solid,Solid app for KYC but takes too long to approve.,2025-11-11
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-12-12
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-12-14
2,Disappointed,Statements are hard to download. Needs improvement.,2025-06-13
3,Average,Customer support is slow to respond to my queries.,2026-01-11
2,Disappointed,Statements are hard to download. Needs improvement.,2025-08-14
2,Disappointed,Statements are hard to download. Needs improvement.,2025-06-20
5,Great App,Works perfectly. I use it every day.,2025-10-08
4,Good,Good but has some minor bugs.,2025-06-19
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-01-07
4,Solid,Solid app for KYC but takes too long to approve.,2025-11-26
5,Awesome,The new UI is fantastic and payments are quick.,2025-09-24
4,Good,Good but has some minor bugs.,2025-09-13
2,Issues,Having login issues since the latest update. @support please fix.,2025-06-11
2,Disappointed,Statements are hard to download. Needs improvement.,2025-10-18
3,Average,Customer support is slow to respond to my queries.,2025-09-28
4,Solid,Solid app for KYC but takes too long to approve.,2025-06-09
5,Great App,Works perfectly. I use it every day.,2026-05-05
5,Great App,Works perfectly. I use it every day.,2026-05-05
3,Average,Customer support is slow to respond to my queries.,2025-12-31
5,Love it,Seamless onboarding process. Very impressed.,2025-06-13
2,Issues,Having login issues since the latest update. @support please fix.,2025-11-13
4,Solid,Solid app for KYC but takes too long to approve.,2025-08-12
5,Great App,Works perfectly. I use it every day.,2025-10-27
3,Average,Customer support is slow to respond to my queries.,2025-08-08
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-08-20
3,Average,Customer support is slow to respond to my queries.,2026-04-14
2,Disappointed,Statements are hard to download. Needs improvement.,2025-06-01
4,Solid,Solid app for KYC but takes too long to approve.,2025-08-14
5,Awesome,The new UI is fantastic and payments are quick.,2025-07-02
2,Disappointed,Statements are hard to download. Needs improvement.,2026-05-15
2,Disappointed,Statements are hard to download. Needs improvement.,2026-02-14
4,Solid,Solid app for KYC but takes too long to approve.,2026-03-25
2,Disappointed,Statements are hard to download. Needs improvement.,2026-03-14
4,Solid,Solid app for KYC but takes too long to approve.,2025-11-12
4,Solid,Solid app for KYC but takes too long to approve.,2026-02-13
4,Good,Good but has some minor bugs.,2026-04-06
5,Awesome,The new UI is fantastic and payments are quick.,2025-08-18
2,Issues,Having login issues since the latest update. @support please fix.,2025-06-28
5,Awesome,The new UI is fantastic and payments are quick.,2025-09-22
2,Disappointed,Statements are hard to download. Needs improvement.,2026-03-30
1,Terrible,Crashes on startup. Unusable.,2025-12-23
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-09-30
5,Love it,Seamless onboarding process. Very impressed.,2025-10-18
1,Terrible,Crashes on startup. Unusable.,2025-10-24
3,Average,Customer support is slow to respond to my queries.,2026-01-21
5,Awesome,The new UI is fantastic and payments are quick.,2025-09-17
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-01-22
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-05-04
4,Solid,Solid app for KYC but takes too long to approve.,2025-07-09
2,Disappointed,Statements are hard to download. Needs improvement.,2025-06-01
5,Awesome,The new UI is fantastic and payments are quick.,2025-12-28
1,Terrible,Crashes on startup. Unusable.,2025-11-19
2,Issues,Having login issues since the latest update. @support please fix.,2025-08-21
2,Disappointed,Statements are hard to download. Needs improvement.,2026-01-23
1,Terrible,Crashes on startup. Unusable.,2025-07-14
3,Average,Customer support is slow to respond to my queries.,2025-10-06
2,Disappointed,Statements are hard to download. Needs improvement.,2025-09-21
1,Terrible,Crashes on startup. Unusable.,2025-09-10
1,Terrible,Crashes on startup. Unusable.,2025-05-23
4,Solid,Solid app for KYC but takes too long to approve.,2026-04-19
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-01-09
2,Disappointed,Statements are hard to download. Needs improvement.,2025-10-23
4,Solid,Solid app for KYC but takes too long to approve.,2025-12-05
1,Terrible,Crashes on startup. Unusable.,2025-07-30
4,Solid,Solid app for KYC but takes too long to approve.,2026-03-13
3,Average,Customer support is slow to respond to my queries.,2025-07-10
5,Awesome,The new UI is fantastic and payments are quick.,2025-10-13
5,Awesome,The new UI is fantastic and payments are quick.,2025-11-08
5,Great App,Works perfectly. I use it every day.,2025-08-03
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-06-10
5,Love it,Seamless onboarding process. Very impressed.,2025-05-21
2,Issues,Having login issues since the latest update. @support please fix.,2026-04-12
2,Disappointed,Statements are hard to download. Needs improvement.,2025-08-02
4,Good,Good but has some minor bugs.,2025-11-26
5,Awesome,The new UI is fantastic and payments are quick.,2025-10-31
5,Great App,Works perfectly. I use it every day.,2025-08-10
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-02-09
3,Average,Customer support is slow to respond to my queries.,2025-07-07
1,Terrible,Crashes on startup. Unusable.,2025-10-04
5,Awesome,The new UI is fantastic and payments are quick.,2026-03-16
3,Average,Customer support is slow to respond to my queries.,2026-04-29
2,Disappointed,Statements are hard to download. Needs improvement.,2026-04-25
4,Solid,Solid app for KYC but takes too long to approve.,2026-04-05
2,Disappointed,Statements are hard to download. Needs improvement.,2025-08-31
2,Issues,Having login issues since the latest update. @support please fix.,2026-02-03
5,Awesome,The new UI is fantastic and payments are quick.,2025-11-02
3,Average,Customer support is slow to respond to my queries.,2026-05-15
5,Great App,Works perfectly. I use it every day.,2025-11-24
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-01-21
5,Great App,Works perfectly. I use it every day.,2025-06-17
5,Love it,Seamless onboarding process. Very impressed.,2025-05-24
5,Awesome,The new UI is fantastic and payments are quick.,2026-04-21
2,Disappointed,Statements are hard to download. Needs improvement.,2026-01-24
2,Disappointed,Statements are hard to download. Needs improvement.,2025-10-15
4,Solid,Solid app for KYC but takes too long to approve.,2025-07-31
4,Good,Good but has some minor bugs.,2025-11-15
2,Disappointed,Statements are hard to download. Needs improvement.,2025-11-29
2,Issues,Having login issues since the latest update. @support please fix.,2026-01-19
1,Terrible,Crashes on startup. Unusable.,2025-07-18
5,Awesome,The new UI is fantastic and payments are quick.,2025-08-19
5,Awesome,The new UI is fantastic and payments are quick.,2025-05-29
4,Good,Good but has some minor bugs.,2026-04-28
5,Great App,Works perfectly. I use it every day.,2026-03-04
5,Awesome,The new UI is fantastic and payments are quick.,2025-05-25
3,Average,Customer support is slow to respond to my queries.,2026-01-30
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-01-14
3,Average,Customer support is slow to respond to my queries.,2026-05-13
2,Disappointed,Statements are hard to download. Needs improvement.,2025-09-01
5,Great App,Works perfectly. I use it every day.,2026-03-20
1,Terrible,Crashes on startup. Unusable.,2026-04-28
4,Good,Good but has some minor bugs.,2025-06-17
5,Great App,Works perfectly. I use it every day.,2025-09-09
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-03-03
1,Terrible,Crashes on startup. Unusable.,2025-07-31
5,Love it,Seamless onboarding process. Very impressed.,2025-11-27
5,Great App,Works perfectly. I use it every day.,2025-06-26
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-02-05
4,Good,Good but has some minor bugs.,2025-12-06
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-02-19
4,Good,Good but has some minor bugs.,2025-12-30
2,Disappointed,Statements are hard to download. Needs improvement.,2026-01-26
2,Disappointed,Statements are hard to download. Needs improvement.,2026-04-05
1,Terrible,Crashes on startup. Unusable.,2026-01-23
3,Average,Customer support is slow to respond to my queries.,2025-11-15
3,Average,Customer support is slow to respond to my queries.,2025-07-16
1,Terrible,Crashes on startup. Unusable.,2025-11-06
2,Issues,Having login issues since the latest update. @support please fix.,2026-04-20
1,Terrible,Crashes on startup. Unusable.,2026-01-30
4,Good,Good but has some minor bugs.,2026-01-09
2,Disappointed,Statements are hard to download. Needs improvement.,2025-10-22
2,Issues,Having login issues since the latest update. @support please fix.,2026-03-05
2,Disappointed,Statements are hard to download. Needs improvement.,2025-06-18
2,Disappointed,Statements are hard to download. Needs improvement.,2026-02-26
3,Average,Customer support is slow to respond to my queries.,2026-02-13
5,Love it,Seamless onboarding process. Very impressed.,2026-02-01
4,Solid,Solid app for KYC but takes too long to approve.,2025-10-07
5,Love it,Seamless onboarding process. Very impressed.,2025-07-22
5,Love it,Seamless onboarding process. Very impressed.,2025-10-12
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-12-25
4,Solid,Solid app for KYC but takes too long to approve.,2025-06-24
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-10-30
5,Great App,Works perfectly. I use it every day.,2026-03-19
3,Average,Customer support is slow to respond to my queries.,2026-04-14
2,Issues,Having login issues since the latest update. @support please fix.,2025-06-03
2,Issues,Having login issues since the latest update. @support please fix.,2025-07-20
5,Great App,Works perfectly. I use it every day.,2026-01-17
2,Disappointed,Statements are hard to download. Needs improvement.,2025-08-02
4,Good,Good but has some minor bugs.,2025-09-30
2,Disappointed,Statements are hard to download. Needs improvement.,2026-04-26
5,Awesome,The new UI is fantastic and payments are quick.,2026-03-04
5,Great App,Works perfectly. I use it every day.,2025-08-26
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-06-15
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-01-11
3,Average,Customer support is slow to respond to my queries.,2025-07-03
2,Disappointed,Statements are hard to download. Needs improvement.,2026-03-07
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-02-11
4,Solid,Solid app for KYC but takes too long to approve.,2026-03-18
5,Love it,Seamless onboarding process. Very impressed.,2025-11-03
1,Terrible,Crashes on startup. Unusable.,2025-08-12
1,Terrible,Crashes on startup. Unusable.,2026-01-10
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-09-06
2,Issues,Having login issues since the latest update. @support please fix.,2026-02-22
4,Good,Good but has some minor bugs.,2026-02-17
3,Average,Customer support is slow to respond to my queries.,2026-03-30
4,Solid,Solid app for KYC but takes too long to approve.,2025-07-02
2,Issues,Having login issues since the latest update. @support please fix.,2025-12-26
2,Issues,Having login issues since the latest update. @support please fix.,2026-04-03
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-05-15
3,Average,Customer support is slow to respond to my queries.,2025-11-21
5,Awesome,The new UI is fantastic and payments are quick.,2025-05-20
2,Issues,Having login issues since the latest update. @support please fix.,2026-03-27
1,Terrible,Crashes on startup. Unusable.,2025-07-13
2,Disappointed,Statements are hard to download. Needs improvement.,2026-01-29
5,Love it,Seamless onboarding process. Very impressed.,2025-10-24
5,Love it,Seamless onboarding process. Very impressed.,2026-01-13
4,Good,Good but has some minor bugs.,2025-10-19
2,Issues,Having login issues since the latest update. @support please fix.,2026-03-30
5,Love it,Seamless onboarding process. Very impressed.,2026-01-19
3,Average,Customer support is slow to respond to my queries.,2025-10-27
2,Disappointed,Statements are hard to download. Needs improvement.,2025-06-04
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-08-07
5,Awesome,The new UI is fantastic and payments are quick.,2025-11-28
5,Great App,Works perfectly. I use it every day.,2025-08-03
5,Great App,Works perfectly. I use it every day.,2026-02-01
5,Great App,Works perfectly. I use it every day.,2026-01-08
3,Average,Customer support is slow to respond to my queries.,2026-03-30
2,Disappointed,Statements are hard to download. Needs improvement.,2025-11-17
5,Awesome,The new UI is fantastic and payments are quick.,2026-01-14
5,Love it,Seamless onboarding process. Very impressed.,2025-06-28
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-11-08
5,Love it,Seamless onboarding process. Very impressed.,2026-03-23
2,Disappointed,Statements are hard to download. Needs improvement.,2025-09-17
1,Terrible,Crashes on startup. Unusable.,2025-08-18
5,Great App,Works perfectly. I use it every day.,2025-10-19
2,Issues,Having login issues since the latest update. @support please fix.,2025-09-14
1,Terrible,Crashes on startup. Unusable.,2025-11-09
1,Terrible,Crashes on startup. Unusable.,2025-06-18
4,Good,Good but has some minor bugs.,2026-05-05
5,Awesome,The new UI is fantastic and payments are quick.,2026-03-10
1,Terrible,Crashes on startup. Unusable.,2026-02-10
5,Great App,Works perfectly. I use it every day.,2026-01-28
4,Solid,Solid app for KYC but takes too long to approve.,2026-03-07
5,Great App,Works perfectly. I use it every day.,2026-04-26
2,Disappointed,Statements are hard to download. Needs improvement.,2025-12-22
5,Awesome,The new UI is fantastic and payments are quick.,2026-04-19
5,Awesome,The new UI is fantastic and payments are quick.,2025-10-23
4,Solid,Solid app for KYC but takes too long to approve.,2025-06-20
5,Love it,Seamless onboarding process. Very impressed.,2025-11-04
3,Average,Customer support is slow to respond to my queries.,2026-05-04
2,Disappointed,Statements are hard to download. Needs improvement.,2026-03-10
5,Love it,Seamless onboarding process. Very impressed.,2025-12-14
3,Average,Customer support is slow to respond to my queries.,2026-05-17
2,Disappointed,Statements are hard to download. Needs improvement.,2026-05-02
5,Awesome,The new UI is fantastic and payments are quick.,2025-06-12
3,Average,Customer support is slow to respond to my queries.,2025-11-14
1,Terrible,Crashes on startup. Unusable.,2025-10-18
5,Love it,Seamless onboarding process. Very impressed.,2025-08-01
1,Terrible,Crashes on startup. Unusable.,2026-03-14
4,Good,Good but has some minor bugs.,2026-03-19
5,Awesome,The new UI is fantastic and payments are quick.,2026-04-15
3,Average,Customer support is slow to respond to my queries.,2026-02-14
4,Good,Good but has some minor bugs.,2025-10-10
5,Great App,Works perfectly. I use it every day.,2026-04-06
3,Average,Customer support is slow to respond to my queries.,2026-03-20
5,Love it,Seamless onboarding process. Very impressed.,2025-10-06
3,Average,Customer support is slow to respond to my queries.,2026-02-25
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-10-15
3,Average,Customer support is slow to respond to my queries.,2025-08-30
2,Disappointed,Statements are hard to download. Needs improvement.,2026-01-23
1,Terrible,Crashes on startup. Unusable.,2026-05-11
5,Love it,Seamless onboarding process. Very impressed.,2025-07-10
5,Awesome,The new UI is fantastic and payments are quick.,2025-08-20
5,Awesome,The new UI is fantastic and payments are quick.,2025-11-10
2,Issues,Having login issues since the latest update. @support please fix.,2026-03-30
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-04-26
2,Disappointed,Statements are hard to download. Needs improvement.,2026-04-19
5,Great App,Works perfectly. I use it every day.,2026-04-02
5,Great App,Works perfectly. I use it every day.,2025-09-18
1,Terrible,Crashes on startup. Unusable.,2025-10-20
5,Awesome,The new UI is fantastic and payments are quick.,2025-11-08
5,Love it,Seamless onboarding process. Very impressed.,2026-03-19
5,Great App,Works perfectly. I use it every day.,2025-10-14
5,Awesome,The new UI is fantastic and payments are quick.,2025-08-18
4,Good,Good but has some minor bugs.,2025-11-30
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-04-04
4,Solid,Solid app for KYC but takes too long to approve.,2025-06-03
2,Issues,Having login issues since the latest update. @support please fix.,2025-06-11
1,Terrible,Crashes on startup. Unusable.,2025-12-16
1,Terrible,Crashes on startup. Unusable.,2026-05-07
2,Disappointed,Statements are hard to download. Needs improvement.,2025-06-11
2,Disappointed,Statements are hard to download. Needs improvement.,2025-10-01
1,Terrible,Crashes on startup. Unusable.,2025-09-14
1,Terrible,Crashes on startup. Unusable.,2026-02-16
1,Terrible,Crashes on startup. Unusable.,2025-07-22
