Star Rating,Review Title,Review Text,Review Last Update Date
5,Great App,Works perfectly. I use it every day.,2025-10-01
5,Love it,Seamless onboarding process. Very impressed.,2025-12-23
3,Average,Customer support is slow to respond to my queries.,2025-07-23
2,Issues,Having login issues since the latest update. @support please fix.,2026-02-10
4,Good,Good but has some minor bugs.,2026-01-04
5,Awesome,The new UI is fantastic and payments are quick.,2026-02-14
5,Love it,Seamless onboarding process. Very impressed.,2026-04-08
2,Disappointed,Statements are hard to download. Needs improvement.,2025-12-08
2,Issues,Having login issues since the latest update. @support please fix.,2026-03-24
3,Average,Customer support is slow to respond to my queries.,2026-01-16
2,Disappointed,Statements are hard to download. Needs improvement.,2026-01-13
5,Great App,Works perfectly. I use it every day.,2025-10-07
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-04-13
5,Awesome,The new UI is fantastic and payments are quick.,2026-01-29
2,Disappointed,Statements are hard to download. Needs improvement.,2025-11-17
4,Solid,Solid app for KYC but takes too long to approve.,2025-09-11
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-12-11
2,Issues,Having login issues since the latest update. @support please fix.,2026-03-07
5,Love it,Seamless onboarding process. Very impressed.,2026-01-10
3,Average,Customer support is slow to respond to my queries.,2025-08-03
4,Solid,Solid app for KYC but takes too long to approve.,2026-04-14
3,Average,Customer support is slow to respond to my queries.,2025-08-02
2,Disappointed,Statements are hard to download. Needs improvement.,2026-03-15
5,Awesome,The new UI is fantastic and payments are quick.,2026-04-22
4,Solid,Solid app for KYC but takes too long to approve.,2026-04-28
2,Issues,Having login issues since the latest update. @support please fix.,2026-03-17
3,Average,Customer support is slow to respond to my queries.,2026-02-16
4,Good,Good but has some minor bugs.,2026-05-24
1,Terrible,Crashes on startup. Unusable.,2026-04-11
4,Solid,Solid app for KYC but takes too long to approve.,2026-04-12
4,Solid,Solid app for KYC but takes too long to approve.,2025-07-03
5,Love it,Seamless onboarding process. Very impressed.,2025-09-12
3,Average,Customer support is slow to respond to my queries.,2025-11-11
3,Average,Customer support is slow to respond to my queries.,2026-04-06
4,Solid,Solid app for KYC but takes too long to approve.,2025-11-04
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-02-16
2,Disappointed,Statements are hard to download. Needs improvement.,2025-07-27
5,Great App,Works perfectly. I use it every day.,2025-07-18
2,Disappointed,Statements are hard to download. Needs improvement.,2025-10-21
2,Issues,Having login issues since the latest update. @support please fix.,2025-06-27
2,Issues,Having login issues since the latest update. @support please fix.,2025-07-16
1,Terrible,Crashes on startup. Unusable.,2025-10-12
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-08-27
2,Disappointed,Statements are hard to download. Needs improvement.,2026-05-01
5,Love it,Seamless onboarding process. Very impressed.,2025-10-26
5,Awesome,The new UI is fantastic and payments are quick.,2025-09-12
1,Terrible,Crashes on startup. Unusable.,2026-05-21
5,Awesome,The new UI is fantastic and payments are quick.,2025-11-29
5,Awesome,The new UI is fantastic and payments are quick.,2025-12-19
1,Terrible,Crashes on startup. Unusable.,2026-01-28
4,Solid,Solid app for KYC but takes too long to approve.,2026-04-27
1,Terrible,Crashes on startup. Unusable.,2025-09-20
2,Disappointed,Statements are hard to download. Needs improvement.,2025-06-27
3,Average,Customer support is slow to respond to my queries.,2026-03-18
2,Disappointed,Statements are hard to download. Needs improvement.,2026-03-04
5,Love it,Seamless onboarding process. Very impressed.,2025-11-03
2,Disappointed,Statements are hard to download. Needs improvement.,2026-03-09
1,Terrible,Crashes on startup. Unusable.,2026-05-21
4,Good,Good but has some minor bugs.,2025-06-22
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-09-05
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-10-31
5,Awesome,The new UI is fantastic and payments are quick.,2025-07-23
2,Issues,Having login issues since the latest update. @support please fix.,2025-10-14
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-12-07
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-04-23
3,Average,Customer support is slow to respond to my queries.,2025-09-07
4,Good,Good but has some minor bugs.,2025-12-23
2,Issues,Having login issues since the latest update. @support please fix.,2025-06-11
2,Disappointed,Statements are hard to download. Needs improvement.,2026-03-10
5,Awesome,The new UI is fantastic and payments are quick.,2025-07-31
5,Great App,Works perfectly. I use it every day.,2025-12-02
1,Terrible,Crashes on startup. Unusable.,2026-03-08
5,Great App,Works perfectly. I use it every day.,2026-02-23
3,Average,Customer support is slow to respond to my queries.,2025-10-16
4,Solid,Solid app for KYC but takes too long to approve.,2025-07-11
2,Issues,Having login issues since the latest update. @support please fix.,2026-03-29
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-01-19
5,Great App,Works perfectly. I use it every day.,2026-01-13
3,Average,Customer support is slow to respond to my queries.,2026-03-25
1,Terrible,Crashes on startup. Unusable.,2026-04-18
4,Good,Good but has some minor bugs.,2026-03-21
5,Awesome,The new UI is fantastic and payments are quick.,2026-01-16
5,Awesome,The new UI is fantastic and payments are quick.,2026-04-02
1,Terrible,Crashes on startup. Unusable.,2025-10-16
4,Solid,Solid app for KYC but takes too long to approve.,2026-01-09
2,Disappointed,Statements are hard to download. Needs improvement.,2026-01-30
5,Great App,Works perfectly. I use it every day.,2026-02-13
4,Solid,Solid app for KYC but takes too long to approve.,2026-02-22
4,Solid,Solid app for KYC but takes too long to approve.,2026-01-25
4,Good,Good but has some minor bugs.,2025-12-18
5,Awesome,The new UI is fantastic and payments are quick.,2025-07-13
5,Awesome,The new UI is fantastic and payments are quick.,2025-09-24
2,Issues,Having login issues since the latest update. @support please fix.,2025-08-13
5,Awesome,The new UI is fantastic and payments are quick.,2025-06-09
2,Disappointed,Statements are hard to download. Needs improvement.,2026-02-24
1,Terrible,Crashes on startup. Unusable.,2026-03-23
3,Average,Customer support is slow to respond to my queries.,2026-04-17
4,Good,Good but has some minor bugs.,2025-09-16
2,Disappointed,Statements are hard to download. Needs improvement.,2026-04-21
1,Terrible,Crashes on startup. Unusable.,2026-04-30
3,Average,Customer support is slow to respond to my queries.,2025-06-15
5,Love it,Seamless onboarding process. Very impressed.,2025-08-14
5,Love it,Seamless onboarding process. Very impressed.,2026-04-09
1,Terrible,Crashes on startup. Unusable.,2026-02-26
5,Awesome,The new UI is fantastic and payments are quick.,2025-11-01
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-05-08
3,Average,Customer support is slow to respond to my queries.,2025-06-22
1,Terrible,Crashes on startup. Unusable.,2025-05-29
3,Average,Customer support is slow to respond to my queries.,2026-03-04
1,Terrible,Crashes on startup. Unusable.,2025-11-22
3,Average,Customer support is slow to respond to my queries.,2025-09-16
2,Disappointed,Statements are hard to download. Needs improvement.,2025-06-07
5,Love it,Seamless onboarding process. Very impressed.,2025-08-17
4,Good,Good but has some minor bugs.,2025-11-16
5,Awesome,The new UI is fantastic and payments are quick.,2025-09-02
5,Awesome,The new UI is fantastic and payments are quick.,2026-04-14
2,Disappointed,Statements are hard to download. Needs improvement.,2025-11-01
5,Love it,Seamless onboarding process. Very impressed.,2026-01-07
4,Good,Good but has some minor bugs.,2025-11-22
5,Love it,Seamless onboarding process. Very impressed.,2026-02-01
3,Average,Customer support is slow to respond to my queries.,2025-08-29
2,Issues,Having login issues since the latest update. @support please fix.,2025-09-01
1,Terrible,Crashes on startup. Unusable.,2026-02-19
1,Terrible,Crashes on startup. Unusable.,2025-08-12
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-03-16
2,Disappointed,Statements are hard to download. Needs improvement.,2026-04-22
1,Terrible,Crashes on startup. Unusable.,2026-04-02
3,Average,Customer support is slow to respond to my queries.,2026-03-24
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-08-07
2,Issues,Having login issues since the latest update. @support please fix.,2026-04-15
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-07-16
3,Average,Customer support is slow to respond to my queries.,2026-04-23
2,Disappointed,Statements are hard to download. Needs improvement.,2025-11-29
3,Average,Customer support is slow to respond to my queries.,2025-11-24
5,Great App,Works perfectly. I use it every day.,2025-08-19
3,Average,Customer support is slow to respond to my queries.,2025-11-11
5,Love it,Seamless onboarding process. Very impressed.,2025-09-19
3,Average,Customer support is slow to respond to my queries.,2025-07-16
3,Average,Customer support is slow to respond to my queries.,2025-07-20
5,Love it,Seamless onboarding process. Very impressed.,2025-05-29
4,Good,Good but has some minor bugs.,2025-09-29
3,Average,Customer support is slow to respond to my queries.,2025-06-12
4,Good,Good but has some minor bugs.,2026-04-01
2,Disappointed,Statements are hard to download. Needs improvement.,2025-07-31
1,Terrible,Crashes on startup. Unusable.,2025-08-10
2,Disappointed,Statements are hard to download. Needs improvement.,2025-11-24
4,Good,Good but has some minor bugs.,2025-07-23
5,Love it,Seamless onboarding process. Very impressed.,2026-05-28
2,Issues,Having login issues since the latest update. @support please fix.,2026-04-26
4,Good,Good but has some minor bugs.,2025-06-06
5,Great App,Works perfectly. I use it every day.,2025-08-17
3,Average,Customer support is slow to respond to my queries.,2025-07-14
3,Average,Customer support is slow to respond to my queries.,2025-08-02
2,Disappointed,Statements are hard to download. Needs improvement.,2026-04-23
5,Great App,Works perfectly. I use it every day.,2025-10-26
3,Average,Customer support is slow to respond to my queries.,2025-07-13
5,Awesome,The new UI is fantastic and payments are quick.,2025-12-01
3,Average,Customer support is slow to respond to my queries.,2025-07-25
2,Disappointed,Statements are hard to download. Needs improvement.,2025-09-16
5,Love it,Seamless onboarding process. Very impressed.,2026-01-05
1,Terrible,Crashes on startup. Unusable.,2025-06-28
2,Disappointed,Statements are hard to download. Needs improvement.,2026-04-02
4,Solid,Solid app for KYC but takes too long to approve.,2026-02-16
1,Terrible,Crashes on startup. Unusable.,2026-01-07
4,Good,Good but has some minor bugs.,2025-11-17
5,Love it,Seamless onboarding process. Very impressed.,2025-07-26
4,Solid,Solid app for KYC but takes too long to approve.,2025-10-30
4,Good,Good but has some minor bugs.,2026-01-03
5,Awesome,The new UI is fantastic and payments are quick.,2026-05-08
2,Issues,Having login issues since the latest update. @support please fix.,2026-03-03
2,Issues,Having login issues since the latest update. @support please fix.,2025-11-06
4,Solid,Solid app for KYC but takes too long to approve.,2025-07-20
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-02-18
2,Issues,Having login issues since the latest update. @support please fix.,2025-06-20
3,Average,Customer support is slow to respond to my queries.,2026-02-07
5,Love it,Seamless onboarding process. Very impressed.,2026-02-18
5,Love it,Seamless onboarding process. Very impressed.,2026-01-29
3,Average,Customer support is slow to respond to my queries.,2025-09-01
4,Solid,Solid app for KYC but takes too long to approve.,2025-11-24
5,Love it,Seamless onboarding process. Very impressed.,2026-01-29
5,Awesome,The new UI is fantastic and payments are quick.,2025-07-04
2,Issues,Having login issues since the latest update. @support please fix.,2026-05-27
5,Awesome,The new UI is fantastic and payments are quick.,2025-06-13
4,Solid,Solid app for KYC but takes too long to approve.,2026-02-18
5,Great App,Works perfectly. I use it every day.,2025-06-23
5,Great App,Works perfectly. I use it every day.,2025-06-05
1,Terrible,Crashes on startup. Unusable.,2026-01-21
2,Disappointed,Statements are hard to download. Needs improvement.,2025-08-14
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-04-27
5,Great App,Works perfectly. I use it every day.,2025-10-31
5,Awesome,The new UI is fantastic and payments are quick.,2025-08-12
5,Awesome,The new UI is fantastic and payments are quick.,2025-09-10
5,Love it,Seamless onboarding process. Very impressed.,2025-08-11
5,Awesome,The new UI is fantastic and payments are quick.,2025-08-10
4,Solid,Solid app for KYC but takes too long to approve.,2026-04-13
1,Terrible,Crashes on startup. Unusable.,2025-11-07
3,Average,Customer support is slow to respond to my queries.,2026-02-11
5,Awesome,The new UI is fantastic and payments are quick.,2026-01-26
3,Average,Customer support is slow to respond to my queries.,2025-08-14
4,Good,Good but has some minor bugs.,2025-08-21
5,Love it,Seamless onboarding process. Very impressed.,2025-12-27
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-06-08
4,Solid,Solid app for KYC but takes too long to approve.,2025-08-24
4,Solid,Solid app for KYC but takes too long to approve.,2026-02-17
5,Awesome,The new UI is fantastic and payments are quick.,2026-01-24
5,Great App,Works perfectly. I use it every day.,2025-06-10
5,Love it,Seamless onboarding process. Very impressed.,2026-04-28
3,Average,Customer support is slow to respond to my queries.,2025-07-17
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-01-23
2,Disappointed,Statements are hard to download. Needs improvement.,2025-08-27
5,Love it,Seamless onboarding process. Very impressed.,2026-05-26
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-10-07
4,Solid,Solid app for KYC but takes too long to approve.,2025-05-29
1,Terrible,Crashes on startup. Unusable.,2025-07-02
2,Disappointed,Statements are hard to download. Needs improvement.,2025-06-24
2,Issues,Having login issues since the latest update. @support please fix.,2025-11-09
5,Awesome,The new UI is fantastic and payments are quick.,2026-01-24
2,Disappointed,Statements are hard to download. Needs improvement.,2025-05-31
4,Good,Good but has some minor bugs.,2026-05-05
2,Disappointed,Statements are hard to download. Needs improvement.,2026-02-11
2,Disappointed,Statements are hard to download. Needs improvement.,2025-08-02
2,Issues,Having login issues since the latest update. @support please fix.,2026-04-08
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-03-10
5,Awesome,The new UI is fantastic and payments are quick.,2026-05-14
2,Disappointed,Statements are hard to download. Needs improvement.,2026-05-04
2,Issues,Having login issues since the latest update. @support please fix.,2026-02-26
5,Love it,Seamless onboarding process. Very impressed.,2026-01-18
2,Disappointed,Statements are hard to download. Needs improvement.,2025-10-07
5,Awesome,The new UI is fantastic and payments are quick.,2026-05-08
4,Solid,Solid app for KYC but takes too long to approve.,2025-12-17
2,Issues,Having login issues since the latest update. @support please fix.,2025-12-30
5,Great App,Works perfectly. I use it every day.,2025-06-29
1,Terrible,Crashes on startup. Unusable.,2026-04-28
5,Love it,Seamless onboarding process. Very impressed.,2025-12-10
5,Love it,Seamless onboarding process. Very impressed.,2025-11-03
2,Issues,Having login issues since the latest update. @support please fix.,2026-01-23
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-02-02
5,Awesome,The new UI is fantastic and payments are quick.,2026-01-16
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-03-02
4,Good,Good but has some minor bugs.,2025-12-19
4,Solid,Solid app for KYC but takes too long to approve.,2026-05-25
2,Disappointed,Statements are hard to download. Needs improvement.,2025-09-01
5,Awesome,The new UI is fantastic and payments are quick.,2025-08-14
5,Awesome,The new UI is fantastic and payments are quick.,2026-04-05
4,Solid,Solid app for KYC but takes too long to approve.,2025-12-27
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-04-24
5,Great App,Works perfectly. I use it every day.,2025-07-11
3,Average,Customer support is slow to respond to my queries.,2025-08-11
5,Love it,Seamless onboarding process. Very impressed.,2026-03-16
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-02-07
1,Terrible,Crashes on startup. Unusable.,2025-08-16
2,Disappointed,Statements are hard to download. Needs improvement.,2026-03-10
5,Great App,Works perfectly. I use it every day.,2025-06-26
5,Awesome,The new UI is fantastic and payments are quick.,2025-08-14
4,Good,Good but has some minor bugs.,2025-08-13
4,Solid,Solid app for KYC but takes too long to approve.,2025-10-10
5,Love it,Seamless onboarding process. Very impressed.,2025-07-31
4,Good,Good but has some minor bugs.,2025-07-31
1,Terrible,Crashes on startup. Unusable.,2025-09-26
5,Great App,Works perfectly. I use it every day.,2025-12-19
4,Good,Good but has some minor bugs.,2025-07-31
2,Issues,Having login issues since the latest update. @support please fix.,2026-01-09
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-03-21
2,Issues,Having login issues since the latest update. @support please fix.,2026-01-18
5,Great App,Works perfectly. I use it every day.,2025-09-10
3,Average,Customer support is slow to respond to my queries.,2026-04-06
4,Good,Good but has some minor bugs.,2026-01-05
5,Awesome,The new UI is fantastic and payments are quick.,2026-02-10
5,Love it,Seamless onboarding process. Very impressed.,2025-07-27
5,Great App,Works perfectly. I use it every day.,2025-11-20
2,Disappointed,Statements are hard to download. Needs improvement.,2026-01-19
2,Disappointed,Statements are hard to download. Needs improvement.,2026-01-26
2,Issues,Having login issues since the latest update. @support please fix.,2025-08-10
4,Good,Good but has some minor bugs.,2026-05-05
5,Great App,Works perfectly. I use it every day.,2026-01-29
5,Awesome,The new UI is fantastic and payments are quick.,2026-03-14
2,Disappointed,Statements are hard to download. Needs improvement.,2025-06-27
5,Great App,Works perfectly. I use it every day.,2026-02-18
5,Love it,Seamless onboarding process. Very impressed.,2026-02-20
5,Great App,Works perfectly. I use it every day.,2025-11-29
5,Great App,Works perfectly. I use it every day.,2026-03-15
3,Average,Customer support is slow to respond to my queries.,2025-11-14
2,Disappointed,Statements are hard to download. Needs improvement.,2025-10-02
5,Love it,Seamless onboarding process. Very impressed.,2026-01-21
3,Average,Customer support is slow to respond to my queries.,2025-06-14
3,Average,Customer support is slow to respond to my queries.,2025-11-20
4,Solid,Solid app for KYC but takes too long to approve.,2026-03-11
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-09-06
4,Solid,Solid app for KYC but takes too long to approve.,2026-04-28
5,Love it,Seamless onboarding process. Very impressed.,2025-11-19
4,Solid,Solid app for KYC but takes too long to approve.,2025-12-20
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-05-17
3,Average,Customer support is slow to respond to my queries.,2025-07-25
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-11-01
5,Awesome,The new UI is fantastic and payments are quick.,2026-05-03
2,Issues,Having login issues since the latest update. @support please fix.,2026-04-04
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-11-21
5,Great App,Works perfectly. I use it every day.,2025-09-12
5,Awesome,The new UI is fantastic and payments are quick.,2025-08-08
1,Terrible,Crashes on startup. Unusable.,2026-03-24
5,Love it,Seamless onboarding process. Very impressed.,2025-10-22
3,Average,Customer support is slow to respond to my queries.,2025-12-17
2,Issues,Having login issues since the latest update. @support please fix.,2026-02-25
5,Love it,Seamless onboarding process. Very impressed.,2025-10-21
1,Terrible,Crashes on startup. Unusable.,2026-02-14
4,Solid,Solid app for KYC but takes too long to approve.,2026-03-21
1,Terrible,Crashes on startup. Unusable.,2026-05-13
2,Issues,Having login issues since the latest update. @support please fix.,2025-08-26
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-12-27
5,Awesome,The new UI is fantastic and payments are quick.,2025-10-30
5,Awesome,The new UI is fantastic and payments are quick.,2025-05-29
5,Love it,Seamless onboarding process. Very impressed.,2025-07-02
3,Average,Customer support is slow to respond to my queries.,2025-07-28
4,Solid,Solid app for KYC but takes too long to approve.,2025-08-22
2,Disappointed,Statements are hard to download. Needs improvement.,2026-03-16
3,Average,Customer support is slow to respond to my queries.,2026-04-14
1,Terrible,Crashes on startup. Unusable.,2026-04-04
5,Awesome,The new UI is fantastic and payments are quick.,2025-06-07
3,Average,Customer support is slow to respond to my queries.,2025-11-02
4,Good,Good but has some minor bugs.,2026-01-02
5,Great App,Works perfectly. I use it every day.,2026-03-16
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-09-15
3,Average,Customer support is slow to respond to my queries.,2025-11-04
4,Good,Good but has some minor bugs.,2025-12-31
5,Great App,Works perfectly. I use it every day.,2025-11-21
2,Issues,Having login issues since the latest update. @support please fix.,2025-11-07
2,Disappointed,Statements are hard to download. Needs improvement.,2025-06-02
5,Love it,Seamless onboarding process. Very impressed.,2025-08-19
3,Average,Customer support is slow to respond to my queries.,2025-11-12
2,Issues,Having login issues since the latest update. @support please fix.,2025-07-17
5,Love it,Seamless onboarding process. Very impressed.,2025-10-10
4,Solid,Solid app for KYC but takes too long to approve.,2025-11-25
4,Good,Good but has some minor bugs.,2026-03-08
5,Great App,Works perfectly. I use it every day.,2025-11-16
2,Issues,Having login issues since the latest update. @support please fix.,2026-03-07
3,Average,Customer support is slow to respond to my queries.,2025-09-19
2,Disappointed,Statements are hard to download. Needs improvement.,2025-11-16
2,Issues,Having login issues since the latest update. @support please fix.,2026-01-12
4,Good,Good but has some minor bugs.,2026-02-10
4,Solid,Solid app for KYC but takes too long to approve.,2026-04-29
2,Issues,Having login issues since the latest update. @support please fix.,2025-06-24
5,Great App,Works perfectly. I use it every day.,2025-06-19
1,Terrible,Crashes on startup. Unusable.,2026-04-17
2,Disappointed,Statements are hard to download. Needs improvement.,2026-04-18
5,Great App,Works perfectly. I use it every day.,2025-09-07
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-12-20
4,Good,Good but has some minor bugs.,2025-11-15
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-03-04
2,Disappointed,Statements are hard to download. Needs improvement.,2026-01-01
2,Issues,Having login issues since the latest update. @support please fix.,2025-11-28
2,Disappointed,Statements are hard to download. Needs improvement.,2025-12-19
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-10-01
2,Disappointed,Statements are hard to download. Needs improvement.,2025-11-10
4,Good,Good but has some minor bugs.,2025-11-30
4,Good,Good but has some minor bugs.,2025-12-16
4,Good,Good but has some minor bugs.,2025-12-08
1,Terrible,Crashes on startup. Unusable.,2026-03-01
5,Love it,Seamless onboarding process. Very impressed.,2025-07-24
4,Solid,Solid app for KYC but takes too long to approve.,2026-02-12
1,Terrible,Crashes on startup. Unusable.,2026-05-13
2,Disappointed,Statements are hard to download. Needs improvement.,2025-11-04
2,Disappointed,Statements are hard to download. Needs improvement.,2025-10-06
4,Good,Good but has some minor bugs.,2025-07-11
2,Disappointed,Statements are hard to download. Needs improvement.,2025-09-30
4,Good,Good but has some minor bugs.,2025-08-25
5,Love it,Seamless onboarding process. Very impressed.,2025-12-12
