Rating,Review Title,Review,Date,Reviewer
5,Great App,Works perfectly. I use it every day.,2025-09-30,User175
5,Awesome,The new UI is fantastic and payments are quick.,2025-11-23,User583
5,Love it,Seamless onboarding process. Very impressed.,2025-07-18,User476
4,Solid,Solid app for KYC but takes too long to approve.,2025-08-22,User717
4,Solid,Solid app for KYC but takes too long to approve.,2026-03-20,User372
4,Good,Good but has some minor bugs.,2026-01-19,User176
5,Love it,Seamless onboarding process. Very impressed.,2026-03-10,User760
5,Awesome,The new UI is fantastic and payments are quick.,2025-11-10,User467
1,Terrible,Crashes on startup. Unusable.,2025-09-08,User709
4,Solid,Solid app for KYC but takes too long to approve.,2025-11-05,User217
5,Great App,Works perfectly. I use it every day.,2026-03-18,User617
2,Disappointed,Statements are hard to download. Needs improvement.,2025-09-09,User712
2,Disappointed,Statements are hard to download. Needs improvement.,2026-03-13,User788
4,Good,Good but has some minor bugs.,2025-12-24,User303
2,Issues,Having login issues since the latest update. @support please fix.,2026-02-21,User705
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-10-29,User706
3,Average,Customer support is slow to respond to my queries.,2026-02-25,User958
5,Great App,Works perfectly. I use it every day.,2025-06-14,User788
5,Awesome,The new UI is fantastic and payments are quick.,2026-01-22,User181
5,Love it,Seamless onboarding process. Very impressed.,2026-02-27,User947
5,Great App,Works perfectly. I use it every day.,2026-01-14,User575
4,Solid,Solid app for KYC but takes too long to approve.,2025-07-05,User824
4,Good,Good but has some minor bugs.,2026-03-30,User407
4,Solid,Solid app for KYC but takes too long to approve.,2025-10-05,User821
5,Awesome,The new UI is fantastic and payments are quick.,2025-11-01,User451
5,Awesome,The new UI is fantastic and payments are quick.,2026-03-24,User754
1,Terrible,Crashes on startup. Unusable.,2026-04-26,User398
4,Good,Good but has some minor bugs.,2026-04-09,User600
3,Average,Customer support is slow to respond to my queries.,2025-10-16,User930
3,Average,Customer support is slow to respond to my queries.,2026-04-12,User581
5,Love it,Seamless onboarding process. Very impressed.,2025-09-04,User683
4,Good,Good but has some minor bugs.,2025-07-12,User160
3,Average,Customer support is slow to respond to my queries.,2025-09-01,User454
4,Solid,Solid app for KYC but takes too long to approve.,2025-06-16,User288
1,Terrible,Crashes on startup. Unusable.,2025-07-22,User949
1,Terrible,Crashes on startup. Unusable.,2026-01-24,User361
4,Solid,Solid app for KYC but takes too long to approve.,2025-09-21,User663
5,Great App,Works perfectly. I use it every day.,2025-08-08,User535
2,Disappointed,Statements are hard to download. Needs improvement.,2026-03-21,User143
4,Solid,Solid app for KYC but takes too long to approve.,2026-01-09,User217
2,Issues,Having login issues since the latest update. @support please fix.,2025-10-12,User978
4,Good,Good but has some minor bugs.,2025-12-09,User302
2,Disappointed,Statements are hard to download. Needs improvement.,2025-07-16,User687
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-09-15,User889
2,Disappointed,Statements are hard to download. Needs improvement.,2025-10-31,User414
4,Solid,Solid app for KYC but takes too long to approve.,2025-06-01,User955
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-06-11,User185
4,Good,Good but has some minor bugs.,2025-11-07,User913
5,Great App,Works perfectly. I use it every day.,2025-10-19,User143
4,Solid,Solid app for KYC but takes too long to approve.,2025-07-17,User187
2,Disappointed,Statements are hard to download. Needs improvement.,2025-09-02,User534
2,Disappointed,Statements are hard to download. Needs improvement.,2025-10-12,User100
2,Issues,Having login issues since the latest update. @support please fix.,2026-03-31,User584
4,Solid,Solid app for KYC but takes too long to approve.,2026-01-08,User864
5,Awesome,The new UI is fantastic and payments are quick.,2025-11-01,User900
5,Great App,Works perfectly. I use it every day.,2026-05-22,User375
4,Solid,Solid app for KYC but takes too long to approve.,2025-07-21,User637
5,Love it,Seamless onboarding process. Very impressed.,2026-01-18,User494
4,Solid,Solid app for KYC but takes too long to approve.,2025-10-27,User910
2,Issues,Having login issues since the latest update. @support please fix.,2025-10-15,User653
2,Issues,Having login issues since the latest update. @support please fix.,2025-06-18,User196
5,Awesome,The new UI is fantastic and payments are quick.,2025-11-20,User449
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-12-13,User524
1,Terrible,Crashes on startup. Unusable.,2025-11-03,User237
4,Solid,Solid app for KYC but takes too long to approve.,2025-06-20,User994
4,Good,Good but has some minor bugs.,2025-07-20,User409
3,Average,Customer support is slow to respond to my queries.,2026-01-17,User280
2,Disappointed,Statements are hard to download. Needs improvement.,2025-06-20,User588
5,Love it,Seamless onboarding process. Very impressed.,2026-02-01,User919
3,Average,Customer support is slow to respond to my queries.,2025-09-02,User600
2,Issues,Having login issues since the latest update. @support please fix.,2025-08-13,User161
3,Average,Customer support is slow to respond to my queries.,2025-12-10,User630
5,Awesome,The new UI is fantastic and payments are quick.,2026-01-11,User870
5,Love it,Seamless onboarding process. Very impressed.,2025-12-02,User650
5,Love it,Seamless onboarding process. Very impressed.,2026-02-25,User223
2,Issues,Having login issues since the latest update. @support please fix.,2025-06-12,User840
1,Terrible,Crashes on startup. Unusable.,2026-04-16,User909
5,Great App,Works perfectly. I use it every day.,2025-11-22,User195
5,Awesome,The new UI is fantastic and payments are quick.,2025-12-16,User968
4,Good,Good but has some minor bugs.,2025-12-22,User165
2,Disappointed,Statements are hard to download. Needs improvement.,2026-03-01,User638
1,Terrible,Crashes on startup. Unusable.,2025-06-14,User264
3,Average,Customer support is slow to respond to my queries.,2025-06-17,User242
3,Average,Customer support is slow to respond to my queries.,2026-02-26,User254
5,Love it,Seamless onboarding process. Very impressed.,2025-08-16,User760
2,Disappointed,Statements are hard to download. Needs improvement.,2025-06-05,User652
4,Good,Good but has some minor bugs.,2026-03-09,User857
4,Solid,Solid app for KYC but takes too long to approve.,2026-01-04,User575
2,Issues,Having login issues since the latest update. @support please fix.,2025-09-06,User254
4,Solid,Solid app for KYC but takes too long to approve.,2026-01-02,User697
2,Disappointed,Statements are hard to download. Needs improvement.,2025-08-01,User839
2,Issues,Having login issues since the latest update. @support please fix.,2026-03-31,User584
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-09-05,User357
3,Average,Customer support is slow to respond to my queries.,2026-03-30,User194
3,Average,Customer support is slow to respond to my queries.,2025-12-03,User292
5,Great App,Works perfectly. I use it every day.,2025-11-20,User791
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-09-22,User341
5,Love it,Seamless onboarding process. Very impressed.,2025-06-15,User241
1,Terrible,Crashes on startup. Unusable.,2026-05-28,User397
4,Good,Good but has some minor bugs.,2025-11-16,User325
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-03-17,User429
5,Love it,Seamless onboarding process. Very impressed.,2025-08-30,User933
5,Great App,Works perfectly. I use it every day.,2025-12-11,User405
5,Love it,Seamless onboarding process. Very impressed.,2025-09-08,User525
2,Issues,Having login issues since the latest update. @support please fix.,2026-04-15,User986
2,Disappointed,Statements are hard to download. Needs improvement.,2025-06-27,User117
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-11-12,User149
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-03-07,User363
5,Awesome,The new UI is fantastic and payments are quick.,2025-11-01,User138
1,Terrible,Crashes on startup. Unusable.,2025-06-03,User300
4,Good,Good but has some minor bugs.,2026-02-24,User583
4,Solid,Solid app for KYC but takes too long to approve.,2025-10-19,User298
3,Average,Customer support is slow to respond to my queries.,2026-04-08,User587
4,Good,Good but has some minor bugs.,2026-01-30,User197
5,Awesome,The new UI is fantastic and payments are quick.,2025-12-27,User206
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-02-09,User576
2,Issues,Having login issues since the latest update. @support please fix.,2025-06-14,User136
4,Solid,Solid app for KYC but takes too long to approve.,2025-08-01,User940
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-09-05,User750
1,Terrible,Crashes on startup. Unusable.,2026-03-13,User120
2,Disappointed,Statements are hard to download. Needs improvement.,2026-05-12,User734
5,Awesome,The new UI is fantastic and payments are quick.,2026-05-05,User779
4,Good,Good but has some minor bugs.,2025-12-27,User647
5,Great App,Works perfectly. I use it every day.,2025-06-06,User574
5,Great App,Works perfectly. I use it every day.,2025-09-12,User998
4,Solid,Solid app for KYC but takes too long to approve.,2025-08-11,User889
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-05-10,User441
2,Disappointed,Statements are hard to download. Needs improvement.,2026-05-28,User812
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-06-05,User242
5,Love it,Seamless onboarding process. Very impressed.,2026-01-19,User616
2,Disappointed,Statements are hard to download. Needs improvement.,2025-07-05,User292
4,Good,Good but has some minor bugs.,2026-03-02,User716
4,Solid,Solid app for KYC but takes too long to approve.,2025-12-27,User440
2,Disappointed,Statements are hard to download. Needs improvement.,2025-10-25,User718
2,Disappointed,Statements are hard to download. Needs improvement.,2025-12-30,User964
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-03-29,User385
4,Good,Good but has some minor bugs.,2025-07-17,User924
2,Disappointed,Statements are hard to download. Needs improvement.,2025-12-28,User140
4,Good,Good but has some minor bugs.,2026-02-02,User304
2,Disappointed,Statements are hard to download. Needs improvement.,2026-01-12,User410
5,Great App,Works perfectly. I use it every day.,2026-03-23,User201
5,Love it,Seamless onboarding process. Very impressed.,2025-08-24,User979
5,Love it,Seamless onboarding process. Very impressed.,2026-01-17,User618
3,Average,Customer support is slow to respond to my queries.,2026-05-13,User796
4,Good,Good but has some minor bugs.,2026-05-10,User602
4,Good,Good but has some minor bugs.,2026-02-26,User705
5,Great App,Works perfectly. I use it every day.,2025-06-22,User685
5,Love it,Seamless onboarding process. Very impressed.,2025-06-11,User506
3,Average,Customer support is slow to respond to my queries.,2025-12-25,User374
5,Awesome,The new UI is fantastic and payments are quick.,2025-05-29,User448
2,Issues,Having login issues since the latest update. @support please fix.,2025-12-30,User604
1,Terrible,Crashes on startup. Unusable.,2025-06-26,User261
5,Great App,Works perfectly. I use it every day.,2026-03-13,User232
2,Disappointed,Statements are hard to download. Needs improvement.,2025-07-27,User305
2,Disappointed,Statements are hard to download. Needs improvement.,2025-07-11,User458
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-02-06,User832
3,Average,Customer support is slow to respond to my queries.,2025-09-27,User933
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-01-26,User214
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-07-13,User315
3,Average,Customer support is slow to respond to my queries.,2025-07-05,User785
5,Awesome,The new UI is fantastic and payments are quick.,2026-03-16,User781
2,Issues,Having login issues since the latest update. @support please fix.,2025-07-27,User100
4,Good,Good but has some minor bugs.,2026-01-11,User977
5,Love it,Seamless onboarding process. Very impressed.,2025-07-31,User256
5,Love it,Seamless onboarding process. Very impressed.,2026-02-02,User318
5,Love it,Seamless onboarding process. Very impressed.,2025-10-31,User252
5,Awesome,The new UI is fantastic and payments are quick.,2026-05-21,User290
1,Terrible,Crashes on startup. Unusable.,2026-02-01,User354
5,Love it,Seamless onboarding process. Very impressed.,2025-11-08,User504
2,Issues,Having login issues since the latest update. @support please fix.,2025-12-21,User723
2,Disappointed,Statements are hard to download. Needs improvement.,2026-05-18,User741
1,Terrible,Crashes on startup. Unusable.,2025-06-14,User208
4,Solid,Solid app for KYC but takes too long to approve.,2025-09-19,User460
5,Awesome,The new UI is fantastic and payments are quick.,2025-08-01,User379
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-08-03,User263
5,Love it,Seamless onboarding process. Very impressed.,2025-06-26,User506
4,Solid,Solid app for KYC but takes too long to approve.,2026-05-21,User280
3,Average,Customer support is slow to respond to my queries.,2025-11-09,User172
2,Disappointed,Statements are hard to download. Needs improvement.,2026-04-23,User590
5,Love it,Seamless onboarding process. Very impressed.,2025-08-29,User736
2,Disappointed,Statements are hard to download. Needs improvement.,2026-04-01,User271
5,Awesome,The new UI is fantastic and payments are quick.,2025-10-10,User622
2,Issues,Having login issues since the latest update. @support please fix.,2026-05-26,User685
4,Good,Good but has some minor bugs.,2025-06-29,User501
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-04-01,User841
1,Terrible,Crashes on startup. Unusable.,2025-10-23,User163
3,Average,Customer support is slow to respond to my queries.,2025-11-20,User732
1,Terrible,Crashes on startup. Unusable.,2025-06-25,User544
3,Average,Customer support is slow to respond to my queries.,2025-11-12,User319
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-04-17,User337
5,Awesome,The new UI is fantastic and payments are quick.,2025-10-08,User125
4,Good,Good but has some minor bugs.,2025-10-05,User419
4,Good,Good but has some minor bugs.,2026-04-08,User620
2,Disappointed,Statements are hard to download. Needs improvement.,2025-08-18,User206
3,Average,Customer support is slow to respond to my queries.,2025-06-09,User969
5,Great App,Works perfectly. I use it every day.,2025-11-15,User150
2,Disappointed,Statements are hard to download. Needs improvement.,2026-05-21,User114
2,Issues,Having login issues since the latest update. @support please fix.,2025-10-07,User361
3,Average,Customer support is slow to respond to my queries.,2026-02-11,User406
5,Love it,Seamless onboarding process. Very impressed.,2025-08-23,User104
3,Average,Customer support is slow to respond to my queries.,2025-09-10,User978
1,Terrible,Crashes on startup. Unusable.,2025-07-05,User279
3,Average,Customer support is slow to respond to my queries.,2026-04-07,User401
1,Terrible,Crashes on startup. Unusable.,2026-01-15,User408
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-03-16,User988
2,Disappointed,Statements are hard to download. Needs improvement.,2025-06-13,User329
5,Great App,Works perfectly. I use it every day.,2026-02-03,User752
5,Love it,Seamless onboarding process. Very impressed.,2026-03-25,User814
5,Awesome,The new UI is fantastic and payments are quick.,2025-12-18,User299
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-07-04,User894
2,Issues,Having login issues since the latest update. @support please fix.,2026-03-07,User239
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-12-29,User270
4,Solid,Solid app for KYC but takes too long to approve.,2025-06-16,User664
2,Issues,Having login issues since the latest update. @support please fix.,2026-01-07,User269
4,Solid,Solid app for KYC but takes too long to approve.,2025-12-06,User792
4,Good,Good but has some minor bugs.,2026-05-18,User870
2,Issues,Having login issues since the latest update. @support please fix.,2026-03-26,User157
4,Good,Good but has some minor bugs.,2025-08-11,User695
2,Disappointed,Statements are hard to download. Needs improvement.,2026-03-17,User941
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-12-25,User530
4,Good,Good but has some minor bugs.,2026-04-08,User853
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-10-29,User345
4,Solid,Solid app for KYC but takes too long to approve.,2026-04-15,User228
4,Good,Good but has some minor bugs.,2026-04-10,User608
5,Love it,Seamless onboarding process. Very impressed.,2026-04-16,User250
5,Love it,Seamless onboarding process. Very impressed.,2026-03-22,User372
1,Terrible,Crashes on startup. Unusable.,2026-05-12,User804
5,Love it,Seamless onboarding process. Very impressed.,2025-12-21,User341
4,Solid,Solid app for KYC but takes too long to approve.,2025-12-22,User678
5,Awesome,The new UI is fantastic and payments are quick.,2025-07-20,User518
3,Average,Customer support is slow to respond to my queries.,2025-11-18,User545
1,Terrible,Crashes on startup. Unusable.,2026-01-07,User584
5,Great App,Works perfectly. I use it every day.,2026-01-21,User812
3,Average,Customer support is slow to respond to my queries.,2025-07-09,User379
2,Issues,Having login issues since the latest update. @support please fix.,2025-09-17,User582
5,Great App,Works perfectly. I use it every day.,2026-04-10,User632
5,Great App,Works perfectly. I use it every day.,2025-11-05,User604
5,Love it,Seamless onboarding process. Very impressed.,2025-06-15,User363
5,Great App,Works perfectly. I use it every day.,2025-06-11,User928
3,Average,Customer support is slow to respond to my queries.,2025-10-08,User832
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-04-09,User143
1,Terrible,Crashes on startup. Unusable.,2025-12-04,User671
2,Issues,Having login issues since the latest update. @support please fix.,2025-11-06,User532
5,Great App,Works perfectly. I use it every day.,2026-03-22,User587
5,Love it,Seamless onboarding process. Very impressed.,2025-09-30,User464
2,Issues,Having login issues since the latest update. @support please fix.,2025-08-07,User625
2,Issues,Having login issues since the latest update. @support please fix.,2026-05-19,User847
5,Love it,Seamless onboarding process. Very impressed.,2025-12-30,User218
2,Disappointed,Statements are hard to download. Needs improvement.,2025-12-18,User200
2,Disappointed,Statements are hard to download. Needs improvement.,2025-12-04,User220
5,Awesome,The new UI is fantastic and payments are quick.,2025-11-04,User118
2,Issues,Having login issues since the latest update. @support please fix.,2025-11-25,User734
4,Good,Good but has some minor bugs.,2026-04-05,User888
4,Solid,Solid app for KYC but takes too long to approve.,2025-08-07,User421
2,Issues,Having login issues since the latest update. @support please fix.,2026-03-29,User508
1,Terrible,Crashes on startup. Unusable.,2025-08-28,User929
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-06-20,User568
4,Good,Good but has some minor bugs.,2025-06-10,User144
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-09-06,User336
5,Awesome,The new UI is fantastic and payments are quick.,2025-10-13,User368
5,Awesome,The new UI is fantastic and payments are quick.,2026-05-19,User663
2,Disappointed,Statements are hard to download. Needs improvement.,2025-06-09,User896
4,Solid,Solid app for KYC but takes too long to approve.,2025-10-31,User148
5,Love it,Seamless onboarding process. Very impressed.,2026-01-11,User879
5,Love it,Seamless onboarding process. Very impressed.,2026-01-05,User505
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-11-13,User246
2,Disappointed,Statements are hard to download. Needs improvement.,2025-11-27,User724
1,Terrible,Crashes on startup. Unusable.,2026-05-02,User584
4,Good,Good but has some minor bugs.,2026-01-28,User661
4,Solid,Solid app for KYC but takes too long to approve.,2025-11-04,User778
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-04-18,User487
1,Terrible,Crashes on startup. Unusable.,2026-02-01,User942
5,Great App,Works perfectly. I use it every day.,2025-10-25,User906
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-08-29,User281
1,Terrible,Crashes on startup. Unusable.,2026-02-03,User420
3,Average,Customer support is slow to respond to my queries.,2025-08-07,User399
5,Awesome,The new UI is fantastic and payments are quick.,2026-01-13,User530
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-01-13,User703
1,Terrible,Crashes on startup. Unusable.,2025-06-02,User520
5,Love it,Seamless onboarding process. Very impressed.,2025-06-19,User834
4,Solid,Solid app for KYC but takes too long to approve.,2025-09-26,User921
1,Terrible,Crashes on startup. Unusable.,2025-09-20,User579
1,Terrible,Crashes on startup. Unusable.,2026-03-22,User262
3,Average,Customer support is slow to respond to my queries.,2025-06-19,User564
4,Solid,Solid app for KYC but takes too long to approve.,2025-08-07,User457
4,Good,Good but has some minor bugs.,2025-10-19,User769
4,Solid,Solid app for KYC but takes too long to approve.,2026-01-10,User248
1,Terrible,Crashes on startup. Unusable.,2025-08-10,User774
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-05-22,User118
5,Awesome,The new UI is fantastic and payments are quick.,2025-10-02,User891
4,Solid,Solid app for KYC but takes too long to approve.,2025-10-07,User188
4,Solid,Solid app for KYC but takes too long to approve.,2025-12-23,User598
3,Average,Customer support is slow to respond to my queries.,2026-01-11,User836
3,Average,Customer support is slow to respond to my queries.,2026-03-02,User462
5,Love it,Seamless onboarding process. Very impressed.,2026-02-20,User788
5,Great App,Works perfectly. I use it every day.,2026-04-22,User296
2,Issues,Having login issues since the latest update. @support please fix.,2025-08-21,User685
1,Terrible,Crashes on startup. Unusable.,2026-01-06,User126
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-02-11,User695
5,Great App,Works perfectly. I use it every day.,2025-09-01,User546
5,Awesome,The new UI is fantastic and payments are quick.,2025-12-20,User111
1,Terrible,Crashes on startup. Unusable.,2026-01-15,User419
4,Good,Good but has some minor bugs.,2025-08-10,User699
1,Terrible,Crashes on startup. Unusable.,2026-05-26,User194
5,Great App,Works perfectly. I use it every day.,2025-11-10,User681
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-04-17,User120
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-09-06,User556
1,Terrible,Crashes on startup. Unusable.,2026-04-04,User773
3,Average,Customer support is slow to respond to my queries.,2025-09-23,User874
4,Good,Good but has some minor bugs.,2025-10-14,User992
3,Average,Customer support is slow to respond to my queries.,2025-06-01,User341
2,Disappointed,Statements are hard to download. Needs improvement.,2026-02-28,User434
4,Solid,Solid app for KYC but takes too long to approve.,2025-07-30,User323
3,Average,Customer support is slow to respond to my queries.,2025-09-13,User795
2,Issues,Having login issues since the latest update. @support please fix.,2025-11-03,User906
2,Disappointed,Statements are hard to download. Needs improvement.,2026-02-08,User495
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2025-05-31,User352
5,Awesome,The new UI is fantastic and payments are quick.,2025-06-20,User483
4,Good,Good but has some minor bugs.,2025-06-19,User635
2,Issues,Having login issues since the latest update. @support please fix.,2026-05-19,User274
5,Awesome,The new UI is fantastic and payments are quick.,2025-09-23,User219
5,Love it,Seamless onboarding process. Very impressed.,2026-05-27,User606
1,Terrible,Crashes on startup. Unusable.,2026-03-27,User491
5,Awesome,The new UI is fantastic and payments are quick.,2026-01-25,User856
2,Disappointed,Statements are hard to download. Needs improvement.,2025-09-03,User421
4,Solid,Solid app for KYC but takes too long to approve.,2025-07-27,User617
3,Average,Customer support is slow to respond to my queries.,2026-02-16,User577
3,Average,Customer support is slow to respond to my queries.,2026-04-22,User179
2,Issues,Having login issues since the latest update. @support please fix.,2025-07-09,User864
2,Issues,Having login issues since the latest update. @support please fix.,2025-08-24,User625
2,Issues,Having login issues since the latest update. @support please fix.,2025-10-12,User456
3,Average,Customer support is slow to respond to my queries.,2025-10-08,User822
4,Good,Good but has some minor bugs.,2025-10-31,User555
5,Great App,Works perfectly. I use it every day.,2026-01-04,User378
4,Solid,Solid app for KYC but takes too long to approve.,2026-03-22,User694
3,Average,Customer support is slow to respond to my queries.,2026-03-02,User581
5,Great App,Works perfectly. I use it every day.,2025-10-28,User665
5,Great App,Works perfectly. I use it every day.,2025-06-20,User565
3,Okay,It is okay but could be faster. Can someone at [email] contact me?,2026-04-07,User536
2,Issues,Having login issues since the latest update. @support please fix.,2025-12-17,User680
3,Average,Customer support is slow to respond to my queries.,2025-11-28,User934
5,Great App,Works perfectly. I use it every day.,2025-12-08,User700
5,Love it,Seamless onboarding process. Very impressed.,2026-04-10,User389
1,Terrible,Crashes on startup. Unusable.,2026-05-08,User731
4,Good,Good but has some minor bugs.,2025-08-07,User563
2,Disappointed,Statements are hard to download. Needs improvement.,2025-06-23,User262
4,Good,Good but has some minor bugs.,2026-05-13,User915
2,Disappointed,Statements are hard to download. Needs improvement.,2025-07-18,User153
5,Love it,Seamless onboarding process. Very impressed.,2026-02-02,User780
1,Terrible,Crashes on startup. Unusable.,2025-06-15,User126
